"","Annelida","Arthropoda","Brachiopoda","Bryozoa","Calcispongea","Chaetognatha","Chlorophyta","Chordata","Ciliophora","Cnidaria","Cyanobacteria","Echinodermata","Foraminifera","Hemichordata","Hyolitha","Lophotrochozoa","Mollusca","Phoronida","Porifera","Priapulida","Radiolaria","Rhodophyta","Sarcomastigophora"
"Nr5",0,0,0,0,0,0,0,0,0,0.307692307692308,0,0,0,0,0,0,0,0,0.615384615384615,0,0,0,0
"Nr6",0,0,0,0,0,0,0.0625,0,0,0.3125,0,0,0.3125,0,0,0,0.1875,0,0.125,0,0,0,0
"Rt1",0,0,0.0625,0,0,0,0,0,0,0.5625,0,0,0.125,0,0,0,0.1875,0,0.1875,0,0,0,0
"Rt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rt3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rt4",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ht",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sn1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sn2",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"Sn3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pn1",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0
"Pn2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pn3",0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0.125,0,0,0,0,0,0
"To1",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0
"To2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"To3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aa1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aa2",0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"Baj",0,0,0.0666666666666667,0,0,0,0,0,0,0.533333333333333,0,0.133333333333333,0.2,0,0,0,0.133333333333333,0,0,0,0,0,0
"Bt1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Bt2",0,0,0.2,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cl1",0,0,0.166666666666667,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"Cl2",0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0
"Ox1",0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0
"Ox2",0,0,0,0,0,0,0,0,0,0.416666666666667,0,0.0833333333333333,0,0,0,0,0.166666666666667,0,0.25,0,0,0,0
"Ox3",0.0384615384615385,0.0384615384615385,0,0,0,0,0,0,0,0.538461538461538,0.0384615384615385,0,0,0,0,0,0.0769230769230769,0,0.115384615384615,0,0,0,0
"Km1",0,0,0,0,0,0,0.0526315789473684,0,0,0.578947368421053,0,0,0.157894736842105,0,0,0,0.157894736842105,0,0.157894736842105,0,0,0,0
"Km2",0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"Tt1",0,0,0,0,0,0,0.181818181818182,0,0,0.272727272727273,0.0909090909090909,0,0.363636363636364,0,0,0,0.181818181818182,0,0.181818181818182,0,0,0,0
"Tt2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tt3",0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
